routecode,stopcode,tripdirection,long,lat
012,4664,1,-122.413729,37.7719940000001
012,4665,0,-122.414302,37.771735
012,4677,1,-122.414024,37.752757
012,4678,0,-122.414208,37.752596
012,4968,0,-122.399913,37.780671
012,5852,1,-122.410037,37.7965560000001
012,5853,0,-122.410175,37.796405
012,5859,0,-122.422901,37.794784
012,5859,1,-122.422901,37.794784
012,6327,0,-122.40122,37.7931800000001
012,6333,1,-122.40131,37.7942800000001
014,3629,0,-122.42059,37.73229
014,4341,0,-122.469273,37.705764
014,4341,1,-122.469273,37.705764
014,5535,1,-122.40654,37.78259
014,5536,0,-122.40664,37.782725
014,5544,1,-122.41712,37.774216
014,5545,0,-122.417292,37.774306
014,5551,1,-122.41964,37.76554
014,5552,0,-122.41971,37.76455
014,5565,1,-122.41841,37.75273
014,5566,0,-122.418528,37.751964
014,5571,1,-122.421819,37.7424350000001
014,5572,0,-122.422,37.74244
014,5574,1,-122.4522,37.7088900000001
014,5592,0,-122.441149,37.7164550000001
014,5593,1,-122.440782,37.716642
014,5601,1,-122.44569,37.7117200000001
014,5602,0,-122.446532,37.711468
014,5603,0,-122.39493,37.7919650000001
014,5603,1,-122.39493,37.7919650000001
014,5620,1,-122.4313,37.72862
014,5621,0,-122.431412,37.7286960000001
014,6283,1,-122.455945,37.7112000000001
014,6498,0,-122.393324,37.79324
014,6498,1,-122.393324,37.79324
014,6708,1,-122.42192,37.7309500000001
014,7099,0,-122.46126,37.7060200000001
014,7099,1,-122.46126,37.7060200000001
014,7562,0,-122.394001,37.7926600000001
016X,3161,1,-122.405675,37.7855270000001
016X,4580,0,-122.42302,37.77597
016X,5300,0,-122.466746,37.7660010000001
016X,5301,1,-122.46623,37.765859
016X,5309,0,-122.47761,37.7655260000001
016X,5764,0,-122.495056,37.753493
016X,5765,1,-122.495422,37.7533320000001
016X,5772,1,-122.42195,37.775063
016X,5828,0,-122.507509,37.750927
016X,5828,1,-122.507509,37.750927
016X,7186,1,-122.477186,37.765384
016X,7309,0,-122.408576,37.7843140000001
017,390,1,-122.475096,37.72119
017,3356,0,-122.475302,37.7211100000001
017,3406,1,-122.47568,37.72887
017,3636,0,-122.483135,37.719886
017,3636,1,-122.483135,37.719886
017,5138,1,-122.471674,37.731363
017,5139,0,-122.471858,37.7312380000001
017,6739,0,-122.4658,37.740956
017,6739,1,-122.4658,37.740956
017,7211,0,-122.475786,37.7287830000001
018,3352,0,-122.475051,37.725785
018,3352,1,-122.475051,37.725785
018,3558,0,-122.493388,37.779815
018,3559,1,-122.493215,37.779548
018,3576,0,-122.506015,37.760519
018,3577,1,-122.505843,37.7603500000001
018,3604,1,-122.504141,37.7361080000001
018,3606,0,-122.505366,37.7360180000001
018,4843,0,-122.51006,37.7732140000001
018,4873,0,-122.499592,37.785015
018,4873,1,-122.499592,37.785015
018,5129,1,-122.49777,37.7170070000001
018,5130,0,-122.49766,37.7167700000001
018,7204,1,-122.509876,37.7732060000001
019,3093,0,-122.423195,37.8063750000001
019,3093,1,-122.423195,37.8063750000001
019,3196,1,-122.412395,37.780309
019,3197,1,-122.401821,37.7720340000001
019,3203,0,-122.405901,37.771554
019,3208,0,-122.413027,37.7772400000001
019,4131,1,-122.39622,37.7500020000001
019,4132,0,-122.396381,37.749868
019,4356,1,-122.400571,37.7548850000001
019,4558,1,-122.382973,37.7400030000001
019,4564,0,-122.382813,37.739717
019,5633,0,-122.365447,37.72792
019,5633,1,-122.365447,37.72792
019,5997,1,-122.41982,37.7867440000001
019,5998,0,-122.419969,37.7865660000001
019,5999,1,-122.420827,37.7917410000001
019,6000,0,-122.421057,37.791929
019,6197,0,-122.401672,37.754332
021,3089,1,-122.3967,37.79175
021,4733,1,-122.463837,37.773532
021,4923,1,-122.419743,37.7781880000001
021,4991,0,-122.438181,37.7749920000001
021,4992,1,-122.437405,37.775
021,5001,0,-122.446513,37.7739320000001
021,5002,1,-122.445679,37.7739460000001
021,5013,0,-122.42019,37.7772860000001
021,5643,1,-122.405893,37.785652
021,5650,1,-122.412613,37.7803630000001
021,5656,0,-122.412441,37.7805680000001
021,5685,1,-122.402163,37.7886130000001
021,5688,0,-122.40731,37.78468
021,5689,0,-122.400411,37.790156
021,6497,0,-122.393232,37.793347
021,6497,1,-122.393232,37.793347
021,7499,0,-122.453086,37.7748720000001
021,7499,1,-122.453086,37.7748720000001
022,3281,1,-122.409812,37.76572
022,3282,0,-122.410328,37.765568
022,3291,1,-122.4196,37.7651430000001
022,3293,0,-122.419835,37.764983
022,3295,1,-122.407669,37.765862
022,3296,0,-122.407646,37.765701
022,3317,1,-122.403476,37.7648170000001
022,3410,0,-122.388673,37.76059
022,3410,1,-122.388673,37.76059
022,4008,0,-122.429065,37.767821
022,4603,0,-122.436517,37.8024
022,4603,1,-122.436517,37.8024
022,4609,0,-122.436469,37.800891
022,4618,0,-122.430537,37.7721990000001
022,4620,1,-122.430347,37.7720330000001
022,4628,1,-122.431687,37.7785400000001
022,4629,0,-122.431762,37.7783430000001
022,4640,1,-122.433191,37.7859940000001
022,4641,0,-122.433268,37.7858140000001
022,5226,0,-122.403617,37.76482
022,6490,1,-122.437054,37.7967850000001
022,6491,0,-122.437137,37.7966270000001
022,7073,1,-122.428893,37.767384
023,3703,0,-122.426702,37.7337190000001
023,3778,1,-122.40677,37.7398600000001
023,3779,0,-122.40712,37.73967
023,4386,1,-122.434102,37.73339
023,4387,0,-122.434309,37.733327
023,4782,0,-122.506821,37.735482
023,4782,1,-122.506821,37.735482
023,5434,1,-122.451239,37.7314720000001
023,5435,0,-122.451445,37.731615
023,5605,1,-122.42592,37.73404
023,5863,0,-122.390825,37.734019
023,5863,1,-122.390825,37.734019
023,5864,1,-122.390768,37.7338140000001
023,6453,0,-122.505354,37.735528
023,6453,1,-122.505354,37.735528
023,6464,0,-122.47187,37.7347800000001
023,6465,1,-122.471881,37.7345750000001
024,3141,0,-122.390928,37.734091
024,3141,1,-122.390928,37.734091
024,3540,1,-122.42206,37.7424350000001
024,3541,0,-122.42217,37.74231
024,4148,0,-122.4072,37.73954
024,4148,1,-122.4072,37.73954
024,4155,1,-122.40781,37.739692
024,4314,1,-122.434934,37.760836
024,4315,0,-122.435071,37.760747
024,4326,1,-122.43401,37.7512
024,4327,0,-122.434179,37.7512530000001
024,4414,1,-122.43881,37.7805000000001
024,4415,0,-122.438976,37.780448
024,4423,1,-122.436983,37.771329
024,4424,0,-122.4371,37.7710500000001
024,4434,1,-122.439813,37.785338
024,4435,0,-122.439939,37.78515
024,4435,1,-122.439939,37.78515
024,5167,0,-122.433025,37.792716
024,5167,1,-122.433025,37.792716
027,3611,1,-122.408175,37.784162
027,3612,0,-122.40821,37.7840110000001
027,3730,1,-122.4104,37.7654900000001
027,3731,0,-122.41054,37.7653
027,3746,1,-122.40907,37.7530600000001
027,3747,0,-122.40919,37.7525200000001
027,3935,0,-122.418369,37.748234
027,3935,1,-122.418369,37.748234
027,4871,1,-122.415097,37.7883220000001
027,5165,0,-122.422959,37.794044
027,5165,1,-122.422959,37.794044
027,5187,0,-122.41361,37.78869
029,390,1,-122.475096,37.72119
029,3356,0,-122.475302,37.7211100000001
029,3370,1,-122.477197,37.7652140000001
029,3706,0,-122.481186,37.792222
029,3706,1,-122.481186,37.792222
029,4648,0,-122.394842,37.7228950000001
029,4648,1,-122.394842,37.7228950000001
029,4803,1,-122.447219,37.72105
029,4805,0,-122.44723,37.7208630000001
029,4885,1,-122.44108,37.716714
029,5309,0,-122.47761,37.7655260000001
029,5349,0,-122.401154,37.7214430000001
029,5350,1,-122.401394,37.7215410000001
029,5593,0,-122.440782,37.716642
029,6539,0,-122.495319,37.753538
029,6540,1,-122.495124,37.753297
030,3094,0,-122.44258,37.8037800000001
030,3137,0,-122.403439,37.787632
030,3941,0,-122.436176,37.8009070000001
030,3942,1,-122.436371,37.800738
030,3956,0,-122.424871,37.802333
030,3957,1,-122.424894,37.802199
030,4110,1,-122.4043,37.79607
030,4120,1,-122.410436,37.8003840000001
030,4411,0,-122.442941,37.8000420000001
030,4411,1,-122.442941,37.8000420000001
030,5057,0,-122.392534,37.7914010000001
030,5331,0,-122.447183,37.797151
030,5331,1,-122.447183,37.797151
030,5472,0,-122.425111,37.805037
030,6337,0,-122.40166,37.7960600000001
030,6523,0,-122.406923,37.7895960000001
030,6524,1,-122.40714,37.789953
030,6596,0,-122.404378,37.789818
030,6750,0,-122.409932,37.8004110000001
030,6751,1,-122.410643,37.800197
030,6781,0,-122.43714,37.7968700000001
030,6786,0,-122.424241,37.7985850000001
030,6787,1,-122.42415,37.7984690000001
030,6819,0,-122.425363,37.8046800000001
030,7223,1,-122.43714,37.7968740000001
030,7235,0,-122.394631,37.777278
030,7235,1,-122.394631,37.777278
030,7621,1,-122.443422,37.8036470000001
030,7676,1,-122.392408,37.791303
031,3034,0,-122.464158,37.7772890000001
031,3035,1,-122.463849,37.7771730000001
031,3041,1,-122.470531,37.776868
031,3051,0,-122.484606,37.7763560000001
031,3052,1,-122.484296,37.77624
031,3057,0,-122.491838,37.7760240000001
031,3058,1,-122.492056,37.7758900000001
031,3070,0,-122.472227,37.776895
031,3071,1,-122.472411,37.7767880000001
031,3927,0,-122.509934,37.7733210000001
031,3927,1,-122.509934,37.7733210000001
031,4347,0,-122.397532,37.792608
031,4347,1,-122.397532,37.792608
031,4415,0,-122.438976,37.780448
031,4474,1,-122.438759,37.7805460000001
031,4475,0,-122.432236,37.7815000000001
031,4476,1,-122.432431,37.781348
031,4494,0,-122.420613,37.782988
031,4495,1,-122.42059,37.7828630000001
031,5643,1,-122.405893,37.785652
031,5688,0,-122.40731,37.78468
031,5946,0,-122.471975,37.7769480000001
031,6092,1,-122.445796,37.7827060000001
031,6093,0,-122.44593,37.7826700000001
031,6497,0,-122.393232,37.793347
031,6497,1,-122.393232,37.793347
031,6724,0,-122.447206,37.778664
031,6725,1,-122.447138,37.7785480000001
033,3281,1,-122.409812,37.76572
033,3282,0,-122.410328,37.765568
033,3325,1,-122.435151,37.760952
033,3326,0,-122.434842,37.7608450000001
033,3338,1,-122.419509,37.761895
033,3511,0,-122.40668,37.751407
033,3511,1,-122.40668,37.751407
033,3648,1,-122.458301,37.7744250000001
033,4224,0,-122.458003,37.774282
033,4962,1,-122.452845,37.7693310000001
033,4963,0,-122.453075,37.76917
033,5553,0,-122.419348,37.762635
033,6028,1,-122.407349,37.7647380000001
033,6029,0,-122.40754,37.7642300000001
033,6293,0,-122.45656,37.786908
033,6293,1,-122.45656,37.786908
035,3693,0,-122.429531,37.7377250000001
035,3693,1,-122.429531,37.7377250000001
035,4394,1,-122.43535,37.7415990000001
